seccion;header;question;correct_answer;ans_type;extra
Vocabulary practice 1: Music;Complete the sentence.;An orchestra is performing some famous works by Mozart and Beethoven.;classical;dropdown;
;Look at the photo and choose the correct answer.;What type of music concert is this?;country;listbox;
;Listen and choose the correct answer.;What kind of music are they talking about?;EDM;listbox;
;Complete the conversation;Why don't you buy him a;folk;dropdown;
;Complete the conversation. There are two extra words.;Mom, I can't turn it down. Heavy;metal;buttons_sel;
;Listen and choose the correct answer.;What type of music do you hear?;hip-hop;listbox;
;Look at the photo and complete the sentence.;I have two tickets to;a jazz;dropdown;
;Listen and choose the correct answer.;What style of music is the radio presenter describing?;pop;listbox;20
;Complete the conversation.;The locals played some traditional;folk;dropdown;
;Put the words in the correct categories.;Which three types of music have people played for many years, and which three types of music are more modern?;;dropdown buttons_sel con agrupacion;
;;;;;
Vocabulary practice 2: Music;Read the information and complete the sentence.;They're at a;classical;text_input;
;Listen, and then choose the correct answer.;What do the letters EDM mean?;Electronic Dance Music;listbox;10
;Complete the sentence.;Now you can hear ;country;text_input;
;Listen and choose the true sentence.;.;He is enjoying listening to the heavy metal album he just bought.;listbox;22
;Read the sentences. Choose True or False.;People often dance to classical music in dance clubs;False*True*True*False;dropdown;
;Read the information. Then complete the sentence. Use one of the words below.;This describes ;rock;text_input;
;;;;;
"Grammar practice 1: ""used to""";Listen and choose the correct answer.;How many heavy metal concerts did Dave go to?;many;listbox;
;Complete the conversation.;Really? That's surprising. They;didn't use to like;dropdown;
;Complete the sentence.;My dad;used;dropdown;
;Complete the sentence. There are two extra words.;Luis didn't;use*to*have;buttons_sel;
;Complete the sentence.;My friends used;to decorate;dropdown;
;Complete the sentence. There are two extra words.;My brother and I ;didn't*use*to;buttons_sel;
;Complete the sentence.;This folk band used to ;be;dropdown;
;Complete the sentence.;Did;you*use*to*have;buttons_sel;
;Complete the sentence.;I didn't ;use*like;dropdown;
;Complete the conversation. There are two extra words.;Peter,;did*use*didn't;buttons_sel;
;;;;;
"Grammar practice 2: ""used to""";Review the grammar. Complete the sentences. ;Complete the example sentences and the grammar rules.;use to*do*use to*used to*see*used to*didn't use to*watch*didn't use to;;
;Listen and choose the correct answer.;Which is the best response to this question?;Yes, I used to spend all my time;listbox;
;Complete the conversation.;Where did you;use to live*used to live;text_input;
;Complete the conversation.;What did you;use to do*didn't use to go;text_input;
