UNTITLED,,,
,.,They are trying to connect us to the brand.*Advertisers want to make us want the product so that we can look the same way.,

UNTITLED,,,
,.,They do this because people want to be like everyone else.*Advertisers include these so we worry we might miss an opportunity.,
UNTITLED,,,
,Watch part of the video. Complete the paragraph.,made*for*you*products*human*people*brand,

"Choose ""Not given"" when you don't hear the information at all.",,,
,Ads usually don't have famous people in them.,False*Not given*True*True,

UNTITLED,,,
,People often buy things quickly if they think there aren't many left.,4*1*3*2,

Tap Show to read a conversation. Then complete the sentences.,,,
,wants to buy a product when the add says a lot,Robin*disagrees*a trick,

UNTITLED,,,
,is selling?,a skateboard*Yes,

Listen again and choose the correct answer. You can tap Show to read along.,,,
,When is the ad mainly shown?,on the internet,

Listen again and choose the correct answer. You can tap Show to read along.,,,
,"Which two ways does the ad describe the skateboard that's
advertised?","funny,popular*colorful,fun",

UNTITLED,,,
,"Steve: I'm going to buy this phone. I love the design. It's sort of expensive, but...",really need*would buy*sure,

Listen and choose the correct answer.,,,
,.,Why would you want to buy so many bananas?,

UNTITLED,,,
,.,"Yes, that's what | would do.",

Complete the conversation.,,,
,Mine is so old.,Now that's a good idea.,

Complete the conversation.,,,
,Trisha,That's what I would do.,

Put the words in the correct order.,,,
,.,Are you sure you want,
Complete the response.,,,
,.,why would you want to do that?,

Put the words in the correct order.,,,
,.,That's a good idea.,

Complete the response.,,,

,Matt: I boughta new TV Tast week.Tt was on sale. Sarah: Do you really,need,

UNTITLED,,,
,.,purple*questioned*blue*new coat,

Complete the sentence from the conversation.,,,
,Darcy: Are you sure you want to get the purple one? Her favorite color is blue.,On second thought,

UNIDENTIFIED,,,
,Which,"Bob*Now that I think about it,...",

Listen and choose the correct answer.,,,
,.,"Now that I think about it, I
didn't.",

Complete the sentence.,,,
,"thought,",second,


Put the words in the correct order to complete the sentence.,,,
,better,Now that I think about it,


UNTITLED,,,
,a great idea/choice/decision.,would*need*That's*made*Now*second,
,That's what I would do/buy/say.,,

UNTITLED,,,
,listening to find out in general what the topic or main idea is. The details aren't important at this stage.,customers*business,

UNTITLED,,,
,There are people talking.,3*an interview*business owners,

UNTITLED,,,
,says they want customers to love their products.,Rachel*Rachel*Erica*Tianyu*Tianyu,

"Listen to the podcast again and choose the correct
answer.",,,
,company?,They advertise the product.,

Tap Show to read some customer feedback. Then complete the sentences. There is one extra option.,,,
,.,eat*wear,

Tap Show to read the feedback again. Choose all the correct answers.,,,
,Which statements are true?,The feedback in Jon's post is all positive.*The feedback in Adriana's post is partly positive and partly negative.,

Writing skills: Tap Show to read the feedback again. Choose the correct answer.,,,
,"As you read, notice how Jon and Adriana use the words however and although in their feedback.",to show a contrast between things,

Put the contrast words in the correct categories.,,,
,.,Formal: although however* Informal: but though,

Complete the sentences.,,,
,I used to love candy with artificial colors and flavor,However*Although,

Complete the rules. There's one extra option.,,,
,"In this part of the lesson, you learned how to use some words",but and though*however and although*however,

"In this part of the lesson, you'll do some practice using",,,
,"fan of pizza.""",the same,

UNIDENTIFIED,,,
,His feedback is completely positive.,True*False*False*True,

Tap Show to read Edison's feedback again. Complete the sentences.,,,
,Edison expresses contrasting ideas by using,however and although*a formal,

ut the words in the correct order to make a sentence with a similar meaning.,,,
,"""l don't like candy, but | love chocolate.""","| don't like candy. However, | love chocolate.",

Read the sentence from Edison's feedback post. Then choose the correct answer.,,,
,"""Although | love chocolate, the double chocolate ones were a","I love chocolate, but the double chocolate ones were a little too rich and sweet for me.",

Complete the sentence from Edison's feedback.,,,
,Use a formal word to show contrast.,However,

Complete the sentence.,,,
,this product.,Although,

UNIDENTIFIED,,,
,.,Vocabulary review leather metal polyester stone*wool*Adjectives for describing materials: artificial fragile heavy light strong waterproof,

UNTITLED,,,
,"vegetables during the winter. However, in summer more of our",import*grown*picking*stored*transported* frozen,

Choose all the correct answers.,,,
,Which words can you use to describe plastic?,artificial waterproof,


Complete the sentences.,,,
,The fish are,export*caught*frozen*shipped,


Tap Show to read a description of a piece of clothing. Then choose True or False.,,,
,from animals,True*False*False*True,


UNIDENTIFIED,,,
,.,"Words about distribution:deliver, export, transport*Words about producion: grow*manufacture*produce",

Complete the sentence. There are three extra words.,,,
,often used,Polyester*an artificial*light,

Read the information. Then complete the sentence.,,,
,"This material is very hard and strong. In the past, people used i",stone,

Choose the correct material for each item.,,,
,.,metal*cotton*wood*wool,

UNTITLED,,,
,"Lightbulbs, like this one, are very",metal*glass*fragile,

UNTITLED,,,
